recipe_name,recipe_category,amount,amount_measurement,id,fdc_id,food_category,description,source,data_type,upc,brand_name,brand_owner,serving_size,measurement,Calories (kcal),Protein (g),Carbohydrates (g),Total Fat (g),Trans Fats (g),Saturated Fats (g),Sodium (mg),Fiber (g)
Eggs & Oatmeal,Breakfast,15,grams,OATMEAL [QUAKER],1995469,Cereal,OATMEAL,Food Data Central,Branded,803275305012,QUAKER,Billion Bay,100,grams,236.7,0,10.0005,1.0005,0,0,1.65,1.335
Eggs & Oatmeal,Breakfast,100,grams,"Eggs, Grade A, Large, egg whole [NA]",748967,Dairy and Egg Products,"Eggs, Grade A, Large, egg whole",Food Data Central,Foundation,NA,NA,NA,100,grams,148,12.4,0.96,9.96,0,3.2,129,0
Chicken & Rice,Lunch & Dinner,200,grams,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw [NA]",171077,Poultry Products,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Food Data Central,SR Legacy,NA,NA,NA,100,grams,240,45,0,5.24,0.014,1.126,90,0
Chicken & Rice,Lunch & Dinner,100,grams,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program) [NA]",169704,Cereal Grains and Pasta,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",Food Data Central,SR Legacy,NA,NA,NA,100,grams,123,2.74,25.58,0.97,0,0.26,4,1.6
Burger,Lunch & Dinner,100,grams,"Beef, ground, 75% lean meat / 25% fat, raw [NA]",174037,Beef Products,"Beef, ground, 75% lean meat / 25% fat, raw",Food Data Central,SR Legacy,NA,NA,NA,100,grams,293,15.76,0,25,1.5,9.568,66,0
Burger,Lunch & Dinner,50,grams,BRIOCHE BUNS [SEATTLE SOURDOUGH BAKING COMPANY],1940336,Breads & Buns,BRIOCHE BUNS,Food Data Central,Branded,072220101652,SEATTLE SOURDOUGH BAKING COMPANY,United States Bakery,100,grams,144,5.48,23.975,2.74,0,1.025,233,1.35
Burger,Lunch & Dinner,100,grams,"Lettuce, cos or romaine, raw [NA]",169247,Vegetables and Vegetable Products,"Lettuce, cos or romaine, raw",Food Data Central,SR Legacy,NA,NA,NA,100,grams,17,1.23,3.29,0.3,0,0.039,8,2.1
Burger,Lunch & Dinner,100,grams,"Tomatoes, red, ripe, raw, year round average [NA]",170457,Vegetables and Vegetable Products,"Tomatoes, red, ripe, raw, year round average",Food Data Central,SR Legacy,NA,NA,NA,100,grams,18,0.88,3.89,0.2,0,0.028,5,1.2
Burger,Lunch & Dinner,25,grams,"Cheese, cheddar [NA]",328637,Dairy and Egg Products,"Cheese, cheddar",Food Data Central,Foundation,NA,NA,NA,100,grams,102,5.825,0.61,8.5,0.285,4.8,163.5,0
